"source_code","source_vocabulary","frequency","source_concept_class","source_name","validity","standard_code","standard_name","standard_vocabulary","mapping_resource"
"2101962","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2103372","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2103521","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2104859","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2105252","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2105351","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2105484","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2105518","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2105633","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2105641","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2107555","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2107563","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2108322","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2108512","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2108918","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2111490","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2111557","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2112126","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2112175","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2113116","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2113538","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2113553","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2113595","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2113603","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2113611","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2114536","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2114635","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2115236","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2115244","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2115293","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2116622","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2116770","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2116796","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2116879","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2117471","CNK",1,NA,"Natribic 84 mg/ml inf. opl. (conc.) i.v. flac.",NA,"B05XA03",NA,"ATC(Non-Standard)",NA
"2119998","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2120293","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2121929","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2122307","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2122356","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2124469","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2127041","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2129203","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2129286","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2131183","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2131589","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2132629","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2132645","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2132660","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2133197","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2137628","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2139384","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2140424","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2140952","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2140978","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2140986","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2141117","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2141190","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2144152","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2147759","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2153492","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2153518","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2154052","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2154185","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2154813","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2155943","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2155950","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2156057","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2157923","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2159101","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2159762","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2159945","CNK",1,NA,NA,NA,NA,NA,NA,NA
"216.9","ICD10",1,NA,NA,NA,NA,NA,NA,NA
"2160117","CNK",1,NA,NA,NA,NA,NA,NA,NA
